StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q9,Q13_1,Q14,Q14_4_TEXT,Q15,Q16_1,Q17,Q19_1,Q19_2,Q19_3,Q21_1,Q21_2,Q21_3,Q32_1,Q32_2,Q32_3,Q33_1,Q33_2,Q33_3,Q27
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Consent Form

 

I (the participant) have read and understood the information regarding the current study. I agree to take part in this survey and understand that I may withdraw at any time without reason and without penalties.

 

I understand that all information collected will be completely anonymous and that at the completion of the study, the data may be released to other researchers while still maintaining confidentiality. I understand that the data may become publicly available in a de-identified form. I have been advised as to what data are being collected, what the purpose is, and what will be done with the data upon completion of the research.

 

I agree that research data gathered as part of the study may be published provided that neither my name, nor other identifying information, is used.

 

Please indicate whether or not you are willing to participate in the study. If you choose to participate in this study, press continue.","What is your age? - If you prefer not to answer, please leave the slider at 0.",Which best describes your gender? - Selected Choice,Which best describes your gender? - Prefer to self-describe - Text,Which best describes your current career stage?,"How many years has it been since you were awarded your PhD? - If your PhD has not yet been awarded, please leave the slider at 0.",Please enter a few keywords to describe your primary research focus.,"Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FIRST three weeks of semester. For each of the participant groups listed below, please indicate how you expect the participants to perform on the task. - Undergraduate students participating in exchange for course credit and who do not receive financial remunerated","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FIRST three weeks of semester. For each of the participant groups listed below, please indicate how you expect the participants to perform on the task. - Members of the community participating in exchange for financial remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FIRST three weeks of semester. For each of the participant groups listed below, please indicate how you expect the participants to perform on the task. - Participants recruited via online crowd sourcing platforms (e.g., Amazon Mechanical Turk) and remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FINAL three weeks of semester. For each of the participant groups listed below, please indicate how you expect the participants to perform on the task. - Undergraduate students participating in exchange for course credit and who do not receive financial remunerated","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FINAL three weeks of semester. For each of the participant groups listed below, please indicate how you expect the participants to perform on the task. - Members of the community participating in exchange for financial remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FINAL three weeks of semester. For each of the participant groups listed below, please indicate how you expect the participants to perform on the task. - Participants recruited via online crowd sourcing platforms (e.g., Amazon Mechanical Turk) and remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FIRST three weeks of semester. For each of the participant groups listed below, please indicate how cautiously you expect the participants to respond. By low caution, we mean sacrificing accuracy in order to respond quickly. By high caution, we mean sacrificing speed in order to respond accurately. - Undergraduate students participating in exchange for course credit and who do not receive financial remunerated","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FIRST three weeks of semester. For each of the participant groups listed below, please indicate how cautiously you expect the participants to respond. By low caution, we mean sacrificing accuracy in order to respond quickly. By high caution, we mean sacrificing speed in order to respond accurately. - Members of the community participating in exchange for financial remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FIRST three weeks of semester. For each of the participant groups listed below, please indicate how cautiously you expect the participants to respond. By low caution, we mean sacrificing accuracy in order to respond quickly. By high caution, we mean sacrificing speed in order to respond accurately. - Participants recruited via online crowd sourcing platforms (e.g., Amazon Mechanical Turk) and remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FINAL three weeks of semester. For each of the participant groups listed below, please indicate how cautiously you expect the participants to respond. By low caution, we mean sacrificing accuracy in order to respond quickly. By high caution, we mean sacrificing speed in order to respond accurately. - Undergraduate students participating in exchange for course credit and who do not receive financial remunerated","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FINAL three weeks of semester. For each of the participant groups listed below, please indicate how cautiously you expect the participants to respond. By low caution, we mean sacrificing accuracy in order to respond quickly. By high caution, we mean sacrificing speed in order to respond accurately. - Members of the community participating in exchange for financial remunerated at a rate that is standard for your department","Imagine you are planning to run a basic cognitive experiment involving speeded choice using a sample of participants recruited within the FINAL three weeks of semester. For each of the participant groups listed below, please indicate how cautiously you expect the participants to respond. By low caution, we mean sacrificing accuracy in order to respond quickly. By high caution, we mean sacrificing speed in order to respond accurately. - Participants recruited via online crowd sourcing platforms (e.g., Amazon Mechanical Turk) and remunerated at a rate that is standard for your department","This final question is optional. Do you think that the quality of participants varies as a function of time of semester and/or method of recruitment? If so, how?"
"{""ImportId"":""startDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Brisbane""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID16""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID21_4_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID34_TEXT""}"
2018-05-02 15:19:02,2018-05-02 15:21:08,Survey Preview,*******,100,125,True,2018-05-02 15:21:08,R_2AXzbKYx7nmBvJA,*******,*******,*******,*******,*******,*******,preview,EN,,,,,,,,,,,,,,,,,,,,
2018-05-04 14:18:06,2018-05-04 14:28:04,IP Address,*******,100,597,True,2018-05-04 14:28:05,R_XTjtwdmAEwal8hH,*******,*******,*******,*******,*******,*******,anonymous,EN,,43,Male,,Mid Career Academic,15,expertise; perceptual learning,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat Well,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,Somewhat High Caution,"If the effect I'm investigating is so fragile that it'd disappear depending on the time of the semester or recruitment method, then I should probably be looking into another area of research. A friend of mine published a nice paper a couple years ago replicating a bunch of basic effects in cognition (i.e., Stroop, Switching, Flanker, Simon, Posner Cuing, attentional blink, subliminal priming, and category learning tasks) using MTurk subjects: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0057410"
2018-05-04 15:05:52,2018-05-04 15:13:24,IP Address,*******,100,451,True,2018-05-04 15:13:24,R_3fk3AdkUJOdqF8e,*******,*******,*******,*******,*******,*******,anonymous,EN,,39,Male,,Mid Career Academic,9,Mathematical Psychology,Moderately,Somewhat Well,Moderately,Somewhat Poorly,Somewhat Well,Moderately,Moderate Caution,Somewhat High Caution,Somewhat Low Caution,Somewhat Low Caution,Somewhat High Caution,Somewhat Low Caution,"I'm familiar with the belief that participants recruited at the start of the semester perform better (i.e., with higher motivation/attention to the task) than participants recruited at the end of the semester. However, I only rarely recruit from the undergraduate subject pool and am uncertain as to the status of this claim."
2018-05-04 14:05:50,2018-05-04 14:06:54,IP Address,*******,58,64,False,2018-05-11 14:06:55,R_3G3sVPwfLqJc9G3,*******,*******,*******,*******,*******,*******,anonymous,EN,,62,Male,,Senior Academic,,,,,,,,,,,,,,,
2018-06-08 17:09:16,2018-06-08 17:22:00,IP Address,*******,100,763,True,2018-06-08 17:22:01,R_wSFHBb5F4VdY4x3,*******,*******,*******,*******,*******,*******,anonymous,EN,,29,Female,,Early Career Academic,2,decision making,Somewhat Well,Moderately,Moderately,Somewhat Poorly,Moderately,Moderately,Somewhat High Caution,Somewhat Low Caution,Moderate Caution,Somewhat Low Caution,Low Caution,Moderate Caution,"Common observations include: last-minute-course credit students are less conscientious and less care about research; and community participants who come to the experiments have less familiarity of psychology tests.
Also, the composition of participants can also be different depending on the method of recruitment. Usually there are more international students than domestic students when the study provides financial payment - this may influence (1) task comprehension, and (2) task performance (may have better scores on number related tasks but lower scores on reading/language based tasks)."
2018-06-08 18:12:54,2018-06-08 18:15:47,IP Address,*******,100,172,True,2018-06-08 18:15:47,R_Za7tKUdZp9sZnLH,*******,*******,*******,*******,*******,*******,anonymous,EN,,32,Male,,Early Career Academic,5,Cognitive psychology,Well,Well,Moderately,Somewhat Poorly,Well,Moderately,Somewhat Low Caution,Somewhat High Caution,Somewhat Low Caution,Low Caution,Somewhat High Caution,Somewhat Low Caution,"Yes. Reduced effort in later parts of the semester. This appears to lead to higher rates of poor performance/needing to exclude participants. "
2018-06-08 18:28:04,2018-06-08 18:32:23,IP Address,*******,100,258,True,2018-06-08 18:32:23,R_2S7U1duMzpjYsz2,*******,*******,*******,*******,*******,*******,anonymous,EN,,32,Male,,Graduate Student,,Decision making,Somewhat Well,Well,Poorly,Somewhat Poorly,Somewhat Well,Poorly,Somewhat High Caution,High Caution,Low Caution,Somewhat Low Caution,Somewhat High Caution,Low Caution,I think the quality of participants declines sharply from the middle of semester on.
2018-06-08 19:20:58,2018-06-08 19:26:37,IP Address,*******,100,339,True,2018-06-08 19:26:37,R_2VmgEPOXCpCZXoq,*******,*******,*******,*******,*******,*******,anonymous,EN,,30,Female,,Graduate Student,,"The role of confidence in learning under uncertianty ",Somewhat Poorly,Somewhat Well,Somewhat Poorly,Poorly,Well,Somewhat Well,Somewhat Low Caution,Moderate Caution,Low Caution,Low Caution,Moderate Caution,Low Caution,"Being closer to exam time may make observers more eager to finish the task, and they may respond with less caution. However it is also possible that in becoming more studious around exam times, observers are more attentive and respond with greater caution, in retrospect to my answers. I don’t have solid empirical evidence to support my inferences - this is just my intuition based on testing REP students vs paid observers"
