resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,1,1,4,0.10,270,1425,1,1,1,2,5494.709916262262,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,2,1,1,0.15,270,-1,-1,1,-1,0,0,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,3,1,3,0.20,270,1404,1,1,1,1,4075.0436748986103,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,4,1,2,0.25,270,1064,1,1,1,0,3004.5250058885867,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,5,1,6,0.10,90,843,2,2,1,4,7788.428212143408,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,6,1,7,0.15,90,551,2,2,1,5,8640.75036076724,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,7,1,5,0.20,90,848,2,2,1,3,6934.587597322403,,
11007,1050,18,female,firstyear,study6ap,3,3,0,0,0,0,0,8,1,8,0.25,90,732,2,2,1,6,9197.675016672161,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,1,1,4,0.10,270,1107,1,1,1,0,5284.069363202361,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,2,1,5,0.15,270,835,2,1,0,1,6402.993156962024,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,3,1,8,0.20,270,710,2,1,0,2,9280.999990648371,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,4,1,2,0.25,270,1285,2,1,0,0,3005.5709272585372,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,5,1,7,0.10,90,1043,1,2,0,2,8228.855725754765,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,6,1,3,0.15,90,974,1,2,0,0,4298.361247878362,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,7,1,6,0.20,90,973,2,2,1,1,7243.543592513088,,
11012,1051,18,female,firstyear,study6ap,3,3,0,0,0,0,0,8,1,1,0.25,90,-1,-1,2,-1,0,0,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,1,1,5,0.10,270,1435,2,1,0,2,8265.023063399188,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,2,1,4,0.15,270,1465,1,1,1,1,6794.707984401495,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,3,1,6,0.20,270,2200,2,1,0,2,9705.614061542874,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,4,1,8,0.25,270,956,1,1,1,3,13118.13299854577,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,5,1,1,0.10,90,-1,-1,2,-1,0,0,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,6,1,3,0.15,90,1397,1,2,0,1,5392.331448984623,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,7,1,2,0.20,90,2377,2,2,1,0,3005.562452365237,,
11017,1052,34,female,community,study6ap,3,3,0,0,0,0,0,8,1,7,0.25,90,1200,2,2,1,2,11912.87166790571,,
11018,1054,19,female,community,study6ap,3,3,0,0,0,0,0,1,1,6,0.10,270,540,2,1,0,3,4624.585096254159,,
11018,1054,19,female,community,study6ap,3,3,0,0,0,0,0,2,1,2,0.15,270,754,2,1,0,1,1404.1199014108642,,
11018,1054,19,female,community,study6ap,3,3,0,0,0,0,0,3,1,1,0.20,270,1398,1,1,1,0,0,,
11018,1054,19,female,community,study6ap,3,3,0,0,0,0,0,4,1,8,0.25,270,611,2,1,0,3,5902.156651990517,,
11018,1054,19,female,community,study6ap,3,3,0,0,0,0,0,5,1,5,0.10,90,916,1,2,0,3,3703.3655203370726,,
