resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,1,1,65,0.38,496,2,2,1,45,49420.91799995978
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,2,1,99,0.42,439,2,2,1,76,69252.98699999985
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,3,1,21,0.47,1012,1,2,0,15,14961.312000014004
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,4,1,94,0.485,700,2,2,1,71,66167.3720000108
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,5,1,84,0.53,649,1,1,1,61,59712.35099999467
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,6,1,9,0.58,588,1,1,1,7,6338.019999995595
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,7,1,54,0.515,507,2,1,0,37,40313.93099996785
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,8,1,116,0.62,1175,1,1,1,89,80211.37599997746
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,9,1,66,0.38,474,2,2,1,46,49921.287999954075
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,10,1,109,0.42,543,2,2,1,85,75591.00699998089
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,11,1,73,0.47,439,2,2,1,53,53474.157999968156
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,12,1,95,0.485,918,2,2,1,72,66867.89000000863
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,13,1,29,0.53,1148,2,1,0,20,20565.45599999663
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,14,1,5,0.58,613,1,1,1,4,2902.1459999785293
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,15,1,47,0.515,1432,2,1,0,32,34743.144999985816
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,16,1,51,0.62,501,1,1,1,35,38429.20399997092
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,17,1,58,0.38,1045,2,2,1,40,43849.878999972134
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,18,1,107,0.42,592,2,2,1,83,74440.15599998238
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,19,1,75,0.47,396,2,2,1,55,54358.1449999765
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,20,1,103,0.485,969,2,2,1,80,71237.78799999855
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,21,1,77,0.53,918,1,1,1,56,55158.73699996155
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,22,1,120,0.58,558,1,1,1,92,82880.22899997304
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,23,1,53,0.515,706,2,1,0,37,39596.73399996245
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,24,1,28,0.62,573,1,1,1,19,19981.69099999359
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,25,1,4,0.38,658,2,2,1,3,2234.9859999812907
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,26,1,83,0.42,679,2,2,1,60,59028.51199998986
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,27,1,81,0.47,480,1,2,0,60,57894.092999980785
1053,1030,23,female,Not Set,study3ba,1,1,0,0,0,0,0,28,1,16,0.485,731,2,2,1,10,11425.364000009722
