resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,1,1,70,0.05,225,860,1,1,1,55,45553.29799995525,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,2,1,60,0.06,225,694,1,1,1,45,38647.66399996006,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,3,1,64,0.07,225,832,1,1,1,49,41550.04899996857,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,4,1,105,0.08,255,721,1,1,1,86,71890.90799998667,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,5,1,72,0.05,135,966,1,2,0,57,47204.51899994805,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,6,1,78,0.06,135,745,2,2,1,61,52041.67499994219,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,7,1,8,0.07,135,789,1,2,0,5,5304.423000008683,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,8,1,24,0.08,135,838,2,2,1,17,15946.141999971587,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,9,1,92,0.05,225,697,1,1,1,74,62149.88699997775,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,10,1,87,0.06,225,642,1,1,1,70,59164.06299996015,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,11,1,95,0.07,225,610,1,1,1,76,64401.551999966614,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,12,1,90,0.08,255,629,1,1,1,72,60915.64099997049,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,13,1,6,0.05,135,702,2,2,1,3,3803.0690000014147,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,14,1,13,0.06,135,574,2,2,1,8,8807.257999971625,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,15,1,34,0.07,135,450,1,2,0,24,21750.908000016352,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,16,1,9,0.08,135,683,1,2,0,5,6105.0150000082795,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,17,1,2,0.05,225,543,1,1,1,0,1000.9969999955501,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,18,1,20,0.06,225,660,1,1,1,13,13144.069999980275,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,19,1,27,0.07,225,677,1,1,1,20,17997.886999990442,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,20,1,91,0.08,255,594,1,1,1,73,61549.44299996714,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,21,1,11,0.05,135,643,2,2,1,6,7439.334999988205,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,22,1,22,0.06,135,628,2,2,1,15,14628.50099998468,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,23,1,47,0.07,135,743,1,2,0,34,30407.759999972768,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,24,1,80,0.08,135,816,2,2,1,63,53543.03399994387,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,25,1,61,0.05,225,726,1,1,1,46,39348.42099995876,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,26,1,23,0.06,225,682,1,1,1,16,15262.30299998133,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,27,1,39,0.07,225,859,2,1,0,28,24686.606999996002,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,28,1,38,0.08,255,557,1,1,1,27,24119.52100000053,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,29,1,107,0.05,135,607,2,2,1,88,73258.58599998173,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,30,1,48,0.06,135,655,2,2,1,34,31158.314999978757,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,31,1,99,0.07,135,605,2,2,1,80,67504.06899995869,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,32,1,25,0.08,135,616,2,2,1,18,16796.99899998377,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,33,1,46,0.05,225,634,1,1,1,33,29773.95799997612,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,34,1,41,0.06,225,752,1,1,1,29,26271.112000002177,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,35,1,50,0.07,225,631,1,1,1,36,32459.54699999129,,
1314,1013,23,female,Not Set,study3as,1,1,0,0,0,0,0,36,1,89,0.08,255,458,1,1,1,71,60448.34599996102,,
