resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,brightness,time,response,correctresponse,iscorrect,startcorrect,startduration
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,1,1,2,0.38,805,2,1,0,0,1850.0370000256225
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,2,1,3,0.42,688,1,1,1,0,2666.720000037458
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,3,1,7,0.46,1839,2,1,0,1,5483.4430000628345
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,4,1,8,0.48,-1,-1,1,-1,1,7333.480000030249
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,5,1,4,0.52,623,1,2,0,1,3366.734000039287
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,6,1,5,0.54,799,1,2,0,1,4000.080000027083
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,7,1,6,0.58,671,1,2,0,1,4800.096000020858
1062,1002,23,female,Not Set,study4bp,3,3,0,0,0,0,0,8,1,1,0.62,1843,1,2,0,0,0
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,1,1,4,0.38,508,2,1,0,3,2333.379999967292
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,2,1,1,0.42,1198,1,1,1,0,0
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,3,1,6,0.46,1697,1,1,1,3,3783.409000025131
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,4,1,8,0.48,1118,1,1,1,4,6433.462000044528
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,5,1,3,0.52,520,2,2,1,2,1816.7029999312945
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,6,1,7,0.54,937,1,2,0,4,5483.4430000628345
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,7,1,5,0.58,925,1,2,0,3,2850.0570000032894
1065,1006,23,female,Not Set,study4bp,3,3,0,0,0,0,0,8,1,2,0.62,604,2,2,1,1,1200.0239999615587
1071,1008,23,female,Not Set,study4bp,3,3,0,0,0,0,0,1,1,3,0.38,709,2,1,0,0,1366.6940000257455
1071,1008,23,female,Not Set,study4bp,3,3,0,0,0,0,0,2,1,2,0.42,702,2,1,0,0,666.6800000239164
1071,1008,23,female,Not Set,study4bp,3,3,0,0,0,0,0,3,1,7,0.46,1082,2,1,0,2,5000.100000062957
1071,1008,23,female,Not Set,study4bp,3,3,0,0,0,0,0,4,1,5,0.48,729,1,1,1,0,3233.3980000694282
