resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1507,1001,11,11,Not Set,study4ap,3,3,0,0,0,0,,3,1,1,0.5,270,440,1,1,1,0,0,,
1507,1001,11,11,Not Set,study4ap,3,3,0,0,0,0,,7,1,2,0.5,90,408,1,2,0,1,450.2150000043912,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,1,1,1,0.1,270,2833,1,1,1,0,0,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,2,1,3,0.3,270,801,1,1,1,1,3650.0729999970645,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,3,1,2,0.5,270,820,2,1,0,1,2833.389999985229,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,4,1,5,0.6,270,759,1,1,1,3,5816.782999958377,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,5,1,4,0.1,90,1358,2,2,1,2,4450.0889999908395,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,6,1,8,0.3,90,1366,2,2,1,6,9350.68500007037,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,7,1,7,0.5,90,1256,2,2,1,5,8083.495000028051,,
1508,1002,23,female,Not Set,study4ap,3,3,0,0,0,0,0,8,1,6,0.6,90,1491,2,2,1,4,6583.46499997424,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,1,1,5,0.1,270,179,1,1,1,1,1584.1550000186544,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,2,1,2,0.3,270,319,1,1,1,0,483.61300001852214,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,3,1,7,0.5,270,677,1,1,1,3,2101.1250000155997,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,4,1,6,0.6,270,330,1,1,1,2,1767.6100000098813,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,5,1,4,0.1,90,438,1,2,0,1,1117.2580000129528,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,6,1,3,0.3,90,306,1,2,0,1,800.4340000043157,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,7,1,8,0.5,90,2392,1,2,0,4,2784.780000016326,,
1513,1006,aaa,aaa,Not Set,study4ap,3,3,0,0,0,0,0,8,1,1,0.6,90,467,1,2,0,0,0,,
