resultid,subjectid,age,gender,source,experiment,block,blockorder,requiredaccuracy,maxduration,startgain,potentialgain,finishgain,trial,repeat,order,coherence,angle,time,response,correctresponse,iscorrect,startcorrect,startduration,effortbefore,effortafter
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,1,1,90,0.10,270,549,2,1,0,75,55727.98800037708,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,2,1,83,0.15,270,508,2,1,0,69,51774.81100038858,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,3,1,166,0.20,270,409,2,1,0,127,102015.177000314,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,4,1,112,0.25,270,446,1,1,1,89,66836.95100032492,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,5,1,192,0.10,90,483,2,2,1,145,114875.67500025034,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,6,1,122,0.15,90,411,1,2,0,96,72591.70600032667,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,7,1,24,0.20,90,455,2,2,1,20,16329.729000048246,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,8,1,139,0.25,90,478,2,2,1,109,83200.29600057751,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,9,1,44,0.10,270,559,1,1,1,39,27121.742000163067,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,10,1,190,0.15,270,528,1,1,1,144,113624.75000025006,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,11,1,13,0.20,270,441,1,1,1,10,10608.339000027627,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,12,1,54,0.25,270,591,2,1,0,48,32325.871000241023,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,13,1,55,0.10,90,490,1,2,0,48,32926.31500022253,,
1735,1002,23,female,Not Set,study6aa,1,1,0,0,0,0,0,14,1,91,0.15,90,485,2,2,1,75,56278.39500037953,,
